datetime,Actual Price,LR Predict,SARIMA Predict,XGB Predict,Actual Trend,LR Trend Predict,SARIMA Trend Predict,XGB Trend Predict,Average Trend Predict
2026-02-24 07:00:00,64031.3,64319.55053051452,64765.26426818386,64111.83,DOWN,DOWN,UP,DOWN,DOWN
2026-02-25 07:00:00,67952.5,63541.89229875025,64062.21940844859,67817.24,UP,DOWN,UP,UP,UP
2026-02-26 07:00:00,67448.2,67709.11991851334,67770.632275757,67409.52,DOWN,DOWN,DOWN,DOWN,DOWN
2026-02-27 07:00:00,65836.0,67334.29275060046,67467.46045684391,65925.15,DOWN,DOWN,UP,DOWN,DOWN
2026-02-28 07:00:00,66937.1,65163.10288677965,65911.51702219537,66849.35,UP,DOWN,UP,UP,UP
2026-03-01 07:00:00,65750.0,66185.18019150366,66887.58168592588,66143.16,DOWN,DOWN,DOWN,DOWN,DOWN
2026-03-02 07:00:00,68801.8,66171.52920312138,65804.12628341645,64564.62,UP,UP,UP,DOWN,UP
2026-03-03 07:00:00,68295.3,68518.4815057563,68660.95341429341,68621.23,DOWN,DOWN,DOWN,DOWN,DOWN
2026-03-04 07:00:00,72641.4,67991.43940423019,68315.61509883485,67370.63,UP,DOWN,UP,DOWN,DOWN
2026-03-05 07:00:00,70854.8,72319.69893160826,72439.50122262326,69691.42,DOWN,DOWN,DOWN,DOWN,DOWN
2026-03-06 07:00:00,68083.0,71259.06135039002,70933.3040732395,69021.234,DOWN,UP,UP,DOWN,UP
2026-03-07 07:00:00,67232.1,68146.5241859747,68213.88743784683,66747.6,DOWN,UP,UP,DOWN,UP
2026-03-08 07:00:00,65934.3,66967.96721159565,67274.75924253695,66811.336,DOWN,DOWN,UP,DOWN,DOWN
2026-03-09 07:00:00,68394.1,66068.45382076406,65995.72054977083,66145.664,UP,UP,UP,UP,UP
2026-03-10 07:00:00,69901.9,68377.32487607951,68280.98842143698,66844.24,UP,DOWN,DOWN,DOWN,DOWN
2026-03-11 07:00:00,70150.0,69932.96137196533,69829.06570804106,69246.23,UP,UP,DOWN,DOWN,DOWN
2026-03-12 07:00:00,70480.1,69692.86613481437,70136.75689112619,69181.61,UP,DOWN,DOWN,DOWN,DOWN
2026-03-13 07:00:00,70895.5,70791.02786786098,70464.42192918515,69454.83,UP,UP,DOWN,DOWN,DOWN
2026-03-14 07:00:00,71174.4,71005.80652320816,70875.79352714874,70576.914,UP,UP,DOWN,DOWN,DOWN
2026-03-15 07:00:00,72778.9,71189.892391187,71160.9559581527,71188.95,UP,UP,DOWN,UP,UP
2026-03-16 07:00:00,74846.4,72433.67816905674,72703.87653137505,70251.69,UP,DOWN,DOWN,DOWN,DOWN
2026-03-17 07:00:00,73872.4,74821.75394094517,74748.3881442796,73347.76,DOWN,DOWN,DOWN,DOWN,DOWN
2026-03-18 07:00:00,71202.9,73953.21111355745,73915.47791171548,74924.49,DOWN,UP,UP,UP,UP
2026-03-19 07:00:00,69887.4,71088.22135777527,71328.20164630283,71298.61,DOWN,DOWN,UP,UP,UP
2026-03-20 07:00:00,70472.7,69814.64089613158,69951.56306090917,73356.766,UP,DOWN,UP,UP,UP
2026-03-21 07:00:00,68881.5,70720.04030565609,70446.93567044071,72825.76,DOWN,UP,DOWN,UP,UP
2026-03-22 07:00:00,67830.6,68859.27489382721,68954.99404876318,68657.2,DOWN,DOWN,UP,DOWN,DOWN
2026-03-23 07:00:00,70865.9,67592.5970980413,67881.23973308025,65657.95,UP,DOWN,UP,DOWN,DOWN
2026-03-24 07:00:00,70523.9,70772.36613834638,70725.74078330919,71172.35,DOWN,DOWN,DOWN,UP,DOWN
2026-03-25 07:00:00,71263.0,70667.99599705235,70536.5713316059,70310.016,UP,UP,UP,DOWN,UP
